Sample ID	Chromosome	Start	End	Number of probes	Segment mean value
678	1	69396	13367671	1955	-0.211732
678	1	13368171	13747733	23	-0.749977
678	1	13748233	28864519	2314	-0.229041
678	1	28865019	33333974	580	-0.0253334
678	1	33334474	39889866	910	0.0626864
678	1	39893126	47653099	1385	0.197692
678	1	47655537	48218640	47	0.0182984
678	1	48218640	53099347	362	0.484452
678	1	53108534	55505010	358	0.136317
678	1	55505510	55968833	80	0.535247
678	1	55971179	58971231	108	0.076566
678	1	58971731	65829817	487	0.437279
678	1	65830317	68150677	203	0.137493
678	1	68151177	74957950	262	0.673515
678	1	74958450	83468460	378	0.426408
678	1	83468460	84944464	49	-0.316361
678	1	84944964	99127467	1070	0.0809488
678	1	99150440	115828932	1507	-0.301121
678	1	115828932	120930293	419	0.0488511
678	1	142535934	158299438	2612	0.406358
678	1	158299641	159751157	197	0.249147
678	1	159751942	171750607	1324	0.368782
678	1	171751107	249240121	6560	0.178082
678	2	10500	92267022	6411	0.0776554
678	2	95326671	102501749	902	0.0241542
678	2	102503549	243188873	10244	-0.080297
678	3	60500	35730877	2073	-0.178297
678	3	35731572	38348033	349	-0.773525
678	3	38348744	43122674	563	-0.256466
678	3	43122674	44763944	141	-0.817535
678	3	44764444	90154779	3984	-0.16493
678	3	93519633	121395877	1624	-0.21444
678	3	121396131	121489421	43	0.169058
678	3	121491403	121659854	39	-0.182991
678	3	121660354	132235660	1303	0.185698
678	3	132241671	134366339	239	-0.240475
678	3	134369666	140865483	417	0.187653
678	3	140865983	144748593	307	-0.211604
678	3	144748593	197961930	3238	0.177768
678	4	85621	36230504	2017	-0.0215388
678	4	36230504	39523132	269	-0.452815
678	4	39523632	49632814	621	0.0153981
678	4	52660617	57250465	339	0.122304
678	4	57250965	69179316	345	-0.0294713
678	4	69179816	70160527	65	-0.311664
678	4	70346351	191025802	6152	-0.0148156
678	5	10500	45907753	2254	0.0855796
678	5	49555074	52776121	128	0.160462
678	5	52776621	180904760	8730	-0.232746
678	6	60500	28404043	1688	0.194539
678	6	28472068	33475013	166	-0.136366
678	6	33477110	49398940	2016	0.214066
678	6	49399440	50681268	89	0.296782
678	6	50681768	51315434	22	0.718381
678	6	51315434	58745455	601	0.302651
678	6	61944508	71464768	350	0.324208
678	6	71483052	171054567	5854	0.143898
678	7	10500	57544226	3617	0.41876
678	7	61657308	81765992	1081	-0.232487
678	7	81766492	158935237	6499	0.00242549
678	8	10500	43398986	2934	0.114163
678	8	48114027	146303522	5384	0.180155
678	9	18279	2647592	160	-0.226542
678	9	2648207	2967518	31	0.165544
678	9	2967518	10866194	390	-0.213502
678	9	10866194	38773148	1791	0.0168832
678	9	38773148	47317179	71	-0.15055
678	9	65468179	141152931	6927	-0.101547
678	10	60500	12870886	725	0.19002
678	10	12871386	13900346	112	-0.223229
678	10	13900846	28100940	976	0.397539
678	10	28101440	30736878	147	0.146831
678	10	30739186	36375914	297	-0.323946
678	10	36375914	38120042	34	0.182415
678	10	38120542	38771777	39	-0.316256
678	10	42602610	135439807	7260	-0.205105
678	11	60500	3238673	837	0.140302
678	11	3239173	9501093	1056	-0.0122153
678	11	9501593	34092772	1583	0.0971222
678	11	34093447	46105770	523	-0.167067
678	11	46106270	46801869	162	0.593454
678	11	46801977	48001964	353	0.225022
678	11	48003060	51516211	81	-0.135051
678	11	55035825	134946016	8605	0.0120954
678	12	60500	34431528	3219	-0.209732
678	12	37857194	53927043	2139	0.0241589
678	12	53928285	55615521	231	0.234548
678	12	55615521	56618140	326	0.551844
678	12	56618640	133502213	6708	-0.211576
678	12	133502213	133781116	48	-0.552997
678	13	19171689	48669214	2074	0.148787
678	13	48669714	48881542	11	-0.593858
678	13	48916734	86759824	1132	0.136722
678	13	87068192	115109378	1467	0.162789
678	14	19217246	21979365	429	0.134009
678	14	21990837	23021093	224	0.00144287
678	14	23044002	60337348	2598	0.146815
678	14	60581430	107283288	4302	0.132141
678	15	20169609	51669697	3137	-0.210507
678	15	51675632	84706558	3467	0.000725584
678	15	85147158	102499862	1254	0.0165349
678	16	97429	30666242	4261	-0.0228812
678	16	30666242	35193080	474	0.152159
678	16	46615640	90294253	4457	-0.21033
678	17	6010	22157351	3950	-0.227576
678	17	25524939	34496053	1351	0.137292
678	17	34499213	34639609	17	0.656105
678	17	34640743	39165326	963	0.139363
678	17	39165826	39471902	41	-0.168022
678	17	39472402	44247720	1355	0.121682
678	17	44248220	44772028	37	-0.418537
678	17	44782124	78090908	4244	0.157497
678	17	78091398	81194710	864	-0.184386
678	18	10500	10871413	702	0.430518
678	18	10871913	15249095	261	0.151045
678	18	18520842	78016748	2989	-0.206637
678	19	60500	9038136	2611	-0.231857
678	19	9038379	9921845	264	-0.409737
678	19	9921845	19905914	3021	-0.218779
